stockId,mark
1304,O
1434,O
1504,O
1717,O
1802,O
1907,O
2014,O
2059,O
2201,O
2204,O
2207,O
2303,O
2344,O
2352,O
2353,O
2354,O
2360,O
2371,O
2382,O
2383,O
2395,O
2408,O
2409,O
2412,O
2430,O
2498,O
2542,O
2609,O
2610,O
2801,O
2809,O
2812,O
2834,O
2836,O
2838,O
2880,O
2881,O
2882,O
2884,O
2885,O
2886,O
2887,O
2888,O
2889,O
2890,O
2891,O
2892,O
2912,O
2915,O
3017,O
3023,O
3035,O
3037,O
3042,O
3044,O
3189,O
3231,O
3443,O
3481,O
3714,O
4205,O
4736,O
4915,O
5227,O
6103,O
6116,O
6125,O
6202,O
6271,O
6409,O
6592,O
6669,O
6789,O
8046,O
8081,O
8215,O
8358,O
8464,O
8938,O
9904,O
9914,O
9921,O
9941,O
9945,O
