Date,Open,High,Low,Close,Volume
2009-11-25,30.76,30.76,29.23,29.42,1437000.0
2009-11-26,29.42,30.15,29.29,29.84,1321000.0
2009-11-27,29.42,29.72,28.93,28.99,743000.0
2009-11-30,29.32,30.58,29.29,30.45,1816000.0
2009-12-01,31.06,32.58,31.06,32.58,2848000.0
2009-12-02,33.99,33.99,31.55,32.77,2511000.0
2009-12-03,32.89,33.19,32.03,32.58,1109000.0
2009-12-04,32.89,34.65,32.58,34.11,1668000.0
2009-12-07,34.11,34.65,33.38,33.43,1016000.0
2009-12-08,33.56,33.56,31.67,31.67,1225000.0
2009-12-09,31.85,33.8,31.85,33.5,1628000.0
2009-12-10,34.04,34.23,32.58,32.83,1201000.0
2009-12-11,33.32,35.08,33.32,35.08,2424000.0
2009-12-14,36.12,37.52,35.94,37.52,3999000.0
2009-12-15,38.37,38.37,36.24,36.84,2349000.0
2009-12-16,37.15,38.98,37.09,38.98,2254000.0
2009-12-17,40.75,40.75,37.27,38.19,2117000.0
2009-12-18,37.45,37.88,36.55,37.34,1176000.0
2009-12-21,37.27,38.06,36.55,38.06,1212000.0
2009-12-22,38.31,39.35,38.06,39.28,2660000.0
2009-12-23,39.28,40.07,38.55,39.89,1471000.0
2009-12-24,39.77,39.77,38.37,38.49,1677000.0
2009-12-25,38.67,39.1,38.25,38.98,1277000.0
2009-12-28,39.59,41.66,39.59,41.66,4435000.0
2009-12-29,43.18,44.52,42.15,44.52,3458000.0
2009-12-30,45.07,45.19,43.24,44.64,2191000.0
2009-12-31,43.49,45.07,42.63,45.01,2252000.0
2010-01-04,44.82,44.82,43.18,43.18,1473000.0
2010-01-05,43.24,43.67,40.38,40.68,2122000.0
2010-01-06,39.71,41.36,39.1,39.53,1809000.0
2010-01-07,39.53,39.53,36.79,36.84,2099000.0
2010-01-08,36.24,37.15,34.35,37.09,1892000.0
2010-01-11,36.48,36.73,35.87,36.05,1130000.0
2010-01-12,35.75,37.09,35.08,36.55,840000.0
2010-01-13,36.24,37.09,35.75,35.81,795000.0
2010-01-14,36.24,38.31,35.94,38.31,1647000.0
2010-01-15,39.53,40.99,39.16,40.99,3129000.0
2010-01-18,40.68,41.9,40.38,40.56,2046000.0
2010-01-19,40.56,41.23,38.31,38.55,1638000.0
2010-01-20,39.77,39.77,38.49,38.61,791000.0
2010-01-21,38.31,39.28,36.91,37.45,600000.0
2010-01-22,36.6,38.67,36.55,38.31,782000.0
2010-01-25,38.06,38.67,36.84,36.84,896000.0
2010-01-26,37.45,37.52,34.29,34.35,986000.0
2010-01-27,34.78,35.2,32.89,32.89,722000.0
