Date,Open,High,Low,Close,Volume,Adj Close
2020-06-23,44.59,45.46,42.59,42.72,1062000.0,
2020-06-24,42.59,44.59,42.59,43.34,397000.0,
2020-06-29,43.34,43.34,41.47,42.22,540000.0,
2020-06-30,42.35,42.35,41.1,41.47,817000.0,
2020-07-01,41.6,41.6,40.11,40.23,823000.0,
2020-07-02,39.86,42.85,39.86,41.85,871000.0,
2020-07-03,41.23,41.72,40.6,40.73,639000.0,
2020-07-06,40.86,41.98,40.73,40.98,334000.0,
2020-07-07,40.98,44.97,40.35,44.97,1252000.0,
2020-07-08,43.85,44.34,41.35,42.1,1649000.0,
2020-07-09,41.85,42.22,39.98,40.23,1020000.0,
2020-07-10,40.73,42.1,38.99,40.98,989000.0,
2020-07-13,41.35,44.22,41.35,43.47,1020000.0,
2020-07-14,42.23,43.5,41.59,42.23,647000.0,
2020-07-15,42.86,42.99,41.97,42.23,240000.0,
2020-07-16,42.23,42.48,41.97,42.09,253000.0,
2020-07-17,42.23,44.77,41.97,41.97,571000.0,
2020-07-20,41.71,41.71,40.31,40.82,258000.0,
2020-07-21,40.95,41.71,40.7,40.7,341000.0,
2020-07-22,40.7,41.71,40.56,41.33,376000.0,
2020-07-23,43.38,44.52,42.86,42.99,1416000.0,
2020-07-24,42.99,43.12,39.93,39.93,1456000.0,
2020-07-27,39.93,39.93,36.1,36.1,1121000.0,
2020-07-28,35.71,36.87,34.44,34.44,792000.0,
2020-07-29,34.7,35.85,34.32,34.44,875000.0,
2020-07-30,34.7,36.49,34.18,36.49,905000.0,
2020-07-31,35.85,36.87,35.85,36.23,561000.0,
2020-08-03,35.85,35.85,35.08,35.71,334000.0,
2020-08-04,35.71,35.97,35.08,35.33,437000.0,
2020-08-05,35.21,36.23,35.21,36.23,680000.0,
2020-08-06,36.23,36.49,35.71,35.97,640000.0,
2020-08-07,33.8,33.8,32.4,32.65,6065000.0,
2020-08-10,32.65,32.79,31.38,32.14,1604000.0,
2020-08-11,32.02,32.14,30.61,30.74,1858000.0,
2020-08-12,30.61,31.76,30.36,31.25,1475000.0,
2020-08-13,31.25,31.5,30.74,30.87,794000.0,
2020-08-14,30.87,32.65,30.74,32.53,1916000.0,
2020-08-17,32.53,32.53,31.38,31.64,809000.0,
2020-08-18,31.64,31.76,31.0,31.25,699000.0,
2020-08-19,31.5,32.4,31.25,31.64,1133000.0,
2020-08-20,31.5,31.5,28.82,29.08,1349000.0,
2020-08-21,29.34,29.97,28.7,29.85,885000.0,
2020-08-24,29.85,30.23,29.34,30.11,371000.0,
2020-08-25,30.36,31.76,29.97,31.12,951000.0,
2020-08-26,31.12,31.76,30.87,31.25,770000.0,
2020-08-27,31.38,31.38,30.61,30.61,401000.0,
2020-08-28,30.61,31.12,30.36,30.87,614000.0,
2020-08-31,30.87,31.38,30.87,30.87,1194000.0,
2020-09-01,31.0,33.17,31.0,32.79,2530000.0,
2020-09-02,33.17,35.97,33.17,35.97,6462000.0,
2020-09-03,36.49,39.55,36.35,39.55,6035000.0,
2020-09-04,39.55,43.5,37.12,43.5,10710000.0,
2020-09-07,44.27,45.29,41.85,42.09,5657000.0,
2020-09-08,43.12,43.24,37.88,40.82,4195000.0,
2020-09-09,38.53,42.99,38.53,42.86,3646000.0,
2020-09-10,44.27,44.39,40.82,40.95,5729000.0,
2020-09-11,40.56,40.56,38.91,39.03,2996000.0,
2020-09-14,41.59,42.86,40.06,42.86,5045000.0,
2020-09-15,42.73,45.03,41.97,43.88,5289000.0,
2020-09-16,44.65,44.91,42.35,42.61,2765000.0,
2020-09-17,42.61,43.62,40.7,42.23,1670000.0,
2020-09-18,42.86,43.24,41.71,41.97,1358000.0,
2020-09-21,43.12,43.12,40.31,40.44,1966000.0,
2020-09-22,38.91,39.29,36.99,37.76,3869000.0,
2020-09-23,37.76,38.02,36.23,36.61,1894000.0,
2020-09-24,35.08,36.1,35.08,35.33,1742000.0,
2020-09-25,35.46,38.02,35.21,35.97,1910000.0,
2020-09-28,35.97,36.99,35.71,35.97,731000.0,
2020-09-29,36.49,36.99,36.1,36.1,436000.0,
2020-09-30,35.97,36.61,35.59,36.23,830000.0,
2020-10-05,36.23,36.61,35.71,35.85,496000.0,
2020-10-06,36.35,36.61,35.97,36.1,672000.0,
2020-10-07,35.97,36.35,35.85,35.97,414000.0,
2020-10-08,36.1,36.49,35.71,35.85,847000.0,
2020-10-12,36.23,36.74,34.56,34.7,997000.0,
2020-10-13,35.46,35.85,34.95,35.21,655000.0,
2020-10-14,35.71,37.25,35.46,36.49,1196000.0,
2020-10-15,36.49,36.61,35.97,35.97,682000.0,
2020-10-16,36.87,36.99,36.23,36.35,951000.0,
2020-10-19,36.61,36.61,35.85,35.85,424000.0,
2020-10-20,36.1,36.87,35.97,36.49,635000.0,
