stockId,mark
0050,O
006208,O
00632R,O
1101,O
1216,O
1234,O
1476,O
1477,O
1504,O
1722,O
1795,O
1907,O
2002,O
2006,O
2014,O
2027,O
2049,O
2059,O
2105,O
2201,O
2207,O
2308,O
2327,O
2330,O
2344,O
2345,O
2347,O
2352,O
2353,O
2354,O
2357,O
2360,O
2371,O
2376,O
2377,O
2379,O
2382,O
2383,O
2385,O
2395,O
2404,O
2408,O
2409,O
2430,O
2441,O
2449,O
2451,O
2454,O
2458,O
2474,O
2492,O
2498,O
2542,O
2548,O
2603,O
2606,O
2610,O
2615,O
2618,O
2633,O
2727,O
2801,O
2809,O
2812,O
2834,O
2836,O
2838,O
2845,O
2880,O
2881,O
2882,O
2884,O
2885,O
2886,O
2887,O
2888,O
2889,O
2890,O
2891,O
2892,O
2912,O
2915,O
3014,O
3023,O
3034,O
3035,O
3036,O
3037,O
3045,O
3189,O
3231,O
3293,O
3443,O
3592,O
3702,O
4205,O
4904,O
4915,O
4961,O
5269,O
5306,O
5876,O
5880,O
6147,O
6176,O
6669,O
6670,O
9921,O
