Date,Title,Get
2023-03-16,第一次小賠,<p>大概二週前，覺得股票會下跌，不知為何？一直在盤整。</p><p>因為找不到被低估的股票，心情有點急。</p><p>發現金融股在跌，看到假黃金，就開始買金融股，因為是假黃金，繼續下跌，卻覺得可以當存股，可以攤平，反而買更多。</p><p>結果攤平後，不賺不賠！</p><p>心得：遇到錯誤時，先休息一段時間，等到谷底時，再加碼買進！</p>
2023-03-22,不要和老婆較真,<p>總是大而化之的我，老婆說煮不好，也不曉得那煮不好，只要沒其它人說煮得好，也就接受了。</p><p>今天不知為何？吃出問題在那？發現只是外觀差一點，白一些，老婆就不接受，不喜歡，任意批評，以前，因為不知差在那，也不會反抗，今天知道了！竟然只是差那小小的問題，我就有些小火了，其實，不用火，老婆的批評是我進步的來源，要虛心接受，加油！</p><p>心得：對於別人願意為了自己的小缺點，告訴自己，要虛心接受，還要感激他。</p>
2023-03-31,人是不理智的,<p>人是不理智的動物，即使線圖已告訴我們該如何做，常常我們卻依靠自己的想法，就做出不合理智的行為，當然，只要不是太貪心，一次下太多資金，持續堅持自己的理由，最終也會獲利，只是獲利多少的問題。</p><p>心得：要多注意均線，它是最有意義的線。</p>
2023-04-01,未來我的小助理取代台股小助理,<p>加油！還要增加一個 myimgur 圖床網站，送出 stockId，startDate，endDate 就會回傳一個圖片網址。 </p><p>心得：今天 4/22 了，還沒完成，拖得有些久喔！</p><p>心得2：今天 5/19 完成了，不過，系統出現不穩，常常掛掉，還要記錄logs，查明原因。。。！</p>
2023-04-12,高息低波,<p>富邦臺灣優質高息 00730 從去年 11 月跌至 15 元，一路漲到現在 19 元，真不可思議，現在正在跌，不知會跌到幾元？(ps.今天4/17，還在跌!!)(ps.今天5/19，已經在止跌回昇了，但仍不建議買進，等除權息後，更低價再買進。)其它高息低波都類似，只是還在漲，這支和00900，00919先跌，可以查一下00730，00900，00919的成份股。</p><p>富邦臺灣優質高息 00730 成份股：聯發科，聯電，鈊象，台聚，漢唐，台橡，新光鋼，明安，南帝，泰博，聯詠，瑞昱，欣興，微星，技嘉，群光，新普，義隆，矽創，晶技，台表科，瑞鼎，天鈺，宜鼎，南茂，超豐，聯陽，盛群，致新，金居。</p><p>心得：這是一支聯電，聯發科集團為主的 ETF</p>
2023-04-15,煮飯成功,<p>詹姆士蕃茄炒蛋，外觀真的好看，也不錯吃。</p><p>豆乾炒杏鮑菇、香菜、辣椒，加些塩和糖，味道真的不錯吃，顏色就比較像原本的顏色，沒有醬油色的感覺。</p><p>宮保高麗菜成功！對了！冰箱還有大黃瓜要記得煮。</p><p>準備 30 堂 AI 入門課程！如果每份課程賣 300 元，就有 300*30 = 9000 元收入，如果可以一個月賣一次，每個月都有收入。</p><p>心得：今天 4/22 了，還沒完成，拖得有些久喔！</p><p>心得2：今天 5/19 ，開始規劃課程，第一堂：如何使用Line Notify，第二堂：傳到價通知，第三堂：傳一年k線圖，第四堂：傳選股名單(股市有賺有賠，。。。)！</p>
2023-04-19,聯發科調降評測為620,<p>由於評測的關係，外資大賣聯發科2454，導致最近一週，股價從 738 下跌至 688，約下跌 50 元，跌幅將近 5%。</p><p>心得：因為除權息行情，仍處於牛市，未來 1~2 週有機會漲回，這是一段逄低買進，仔細觀察的好時機。</p><p>心得2：等了一個月，5/18，股價終於開始回昇了！</p>
2023-04-21,買聯發科 2454 是一場美麗的錯誤,<p>4/6 聯發科無預警的下跌，從 774 跌至 753，跌了 21 元，沒想過事出必有妖，也沒注意看均線已是死亡交叉，卻急於買進，之後幾天，繼續加碼，卻不知已落在陷阱中，4/18 又從 702 再跌到 688，目前股價來到 676，從 753 到 676，跌了 87 元，真可怕！</p><p>心得：長綠 k 棒是獲利的誘惑，要小心！需看均線，確保安全。</p>
2023-04-22,要備份每天csv檔,<p>要備份每天csv檔，也要備份程式，先存在筆電，找時間放到 PC 主機，如果在家裡，就可以連PC主機，為老婆進行選股介紹　。</p>  
2023-04-23,國營事業股比較抗跌,<p>觀察上一週股市，4/17~4/21發現，國營事業股在大跌時，似乎比較有抗跌能力，比如中華電，兆豐金，陽明，第一金，。。。等</p>
2023-04-25,均線日期不足問題,<p>目前月線，季線，半年線，年線是當下運用現有資料，立即運算，季線半年線年線，會有日期不足問題</p><p>心得：要在歷史資料中，算好均線的值，加油！</p>
2023-05-15,神奇520,<p>不知為何每年5月20日，股市通常會下跌，可能因為每四年，總統大選帶來台海危機，當用AI去跑歷史資料時，發現520跌的機率就很高，也會在520前，趕快賣出，形成賣壓，久而久之，520會跌就變成事實，不過，危機就是轉機，因為快發股息了，很多人會想逄低買進，賺股息，因為，我也很想，比如陽明，花60元，就可以拿回20元，股票還在，還有機會漲回去，怎麼不想賺一筆呢？只是，除權息後股票調整，很難再漲回60元，想想最近聯發科在跌，便宜買進聯發科，似乎是比較好的選擇，花676元，拿回76元，雖然少一點，但聯發科很有機會再漲回677，可以考慮聯發科，開發金，台橡，復盛，鴻海，網家，燦坤，旺宏，最近都在谷底反彈中。。。。</p>
2023-05-16,不大願意承認自己的錯誤,<p>通常一支股票大跌後，需要一段很長時間，才會再漲起來，主要因為很多人在跌幅超過10%時，會認賠出場，但，在谷底時，卻不願承認之前賣出的錯誤(ps其實沒錯)，不想再進場買回，其實，跌幅10%的出場設計，主要考慮出場後，等股票低點時再買回，可以買更多股，只是，一般人，沒有這種賣出，過一會兒又買回的習慣，而且，慌張下，很可能做出更多錯誤決定，一般，做錯決定，最好休息一到二週，再進場，是比較好的習慣，因為人畢竟不是AI，沒辦法那麼快恢復冷靜。</p>
2023-05-17,快放暑假了，筆電需求上昇,<p>筆電在實體門市，似乎不如網路門市，除了考慮燦坤外，網家PC home也可以考慮看看，對了！中元節快到了，普渡需要很多飲料食品，食品股若下跌，可以考慮買進。</p>
2023-05-18,經歷2022年的投資人,經歷2022年的投資人，因為股市下跌了一整年，相對比較保守，多會在谷低買進，在黃金交叉賣出，算是比較保守，安全的一派，情緒也會比較壓抑，常常需要去放鬆心情，而無法在股市中乘風破浪，享受快感，優點就是比較安全，我好像有點像這一類人，沒有乘風破浪的勇氣，唉！</p>
2023-05-19,莫名奇妙生氣,<p>雖然，從一直會莫名奇妙生氣，但，最近才覺得應該找出原因，進行根治，就像對股票的理解一樣，深入瞭解，才能找出治本的方法，治標不治本，永遠無法正確解決問題，找出好的股票和買點。</p>
2023-05-20,製作總統上任前四年圖,<p>明年要總統上任了，要查一下，候選人，投票日期，上任日期，最重要是上任發表言論，假想自己是習進平，來看這篇發表言論，才能知道大陸的反應，基本上，習進平應該是一位善良有個性又有吸引力的人，不然不會當總理，若我是大陸總理，那我最放心是俄國最近很弱，不會來打我，台灣就嚇嚇就好了，應該是這樣，還要仔細觀察。</p>
2023-05-21,除權息資料要補齊,<p>最近到了除權息的時候，要盡可能補齊除權息的資料，加油！聯電2303：旺宏2337：中華電2412：燦坤2430：陽明2609：復盛6670：，不用填息日，也不用發放日。</p>
2023-05-22,試著將程式移到myimgurd,<p>建立myimgure，將stocklist移到這，慢慢改看看，也許，也可以慢慢地移到vs code。</p>
2023-05-24,做一個 stocklistmb 版,<p>使用下拉式選單，再用彈出的方式來顯示k線圖。</p>
2023-05-24,目前以myimgurd02-Develop為主,<p>先 push 到 github，拷貝到 myimgurd02，再 az webapp up 到 azure。</p>
2023-06-05,股市一直漲,<p>現在6月初，進入除權息旺季，沒有漲的股票，大多是除權息結束，或配息太低，其實除權息完，會有一波漲勢，可以下載每日除權息資料來看看喔！</p>
2023-06-19,股市大漲,<p>最近股市大漲，雖說除權息行情，同時，也是因為政府打房，買房子要過一年或二年才可以賣，對投資客非常麻煩，但投資客有現金，不買房，那要做什麼呢？恰好股市除權息，就將錢投入股市，於是除了原本除權息行情外，又加上原本買房投資客的加入，於是股市有漲，不過，這時，下車的人，也會很多，因為大家都覺得，股市到高點會蹦盤，可今年才漲半年，一般行情會持續三年，又因明年選總統，明年初可能下跌，所以，只有下半年可以漲，所以，股市應該會持續高點到年底吧！以上是最近觀察心得。</p>
2023-06-20,長紅棒,<p>長紅棒出現，有可能是股價要飆昇的信號，要如何判斷後勢，可能要再想想，有機會找飆股來觀察看看。</p>
2023-06-22,我的認知80%是對的，20%是錯的,<p>魔鬼(或者說是錯誤)在細節中，就像程式的錯蟲，會讓整個程式都無法運作。</p>
2023-07-13,最近買對股，卻沒賺錢,<p>最近買了台塑四寶，今天也開始漲了，可惜，之前買得稍貴，現在還在虧損中，台塑四寶連跌好幾週，跌勢未停時，就持續買進，有點過急，應該等跌勢稍緩，再進場或加碼，可能會更好，嗯。。。，台塑四寶和聯發科、大立光等電子股不太一樣，屬於緩跌緩漲型傳產股，比較像復盛、巨大，要花比較長的時間，持續關心，才會有收獲和盈餘。</p>
2023-07-18,人會隨著時間成長,<p>人是會成長的動物，尤其是發現問題時，如果一直沒有發現問題，就會如温水煮青蛙，不知不覺中就沈淪了，如果能常常發現問題，改進問題，就會慢慢地成長，加油！</p>
2023-07-23,特定股持續上漲,<p>最近股市雖然上漲，不過，只漲高檔股票，高檔股票，持續上漲，低檔的股票，持續下跌，可以預測一件事，大戶在將散戶引去購買高檔股，部局低檔股票。</p><p>心得：續買已有股票，降低購買成本，等待時機，逐步賣出。</p>
2023-07-24,增加更新功能,<p>雖然除權息的程式已經寫好了，但要多一個按鈕，可以即時更新；基本資料的部份，在沒有資料時，要進行更新，最好能輸入一個網址，取出所需資料。</p>
2023-09-18,松山一日遊,<p>今天到松山圖書館寫了一點小程式，股市下跌100多點，感覺好像由牛市轉熊市了，又不太像，正處於無法判斷的盤整中。。。經過一連串的分析，一是目前是Ｗ型，二是現在是9月，離總統當選還有好幾個月，另外，上個月營收上漲，多個利多來看，似乎未來是看漲的。</p>
2023-09-19,股市盤整中,<p>最近加權指數連漲 3 天後，已經下跌 2 天了，不過，後勢看漲，這幾天可能會再上漲。</p><p>今天買了緯穎後，緯穎卻一直下跌，看得讓人心慌慌的，唉！真是可怕啊！</p>
2023-09-20,今天沒賣出南亞...,<p>唉！本來南亞有 400 多股，但是，之前出清留 100 股，可是前 300 多股賠了 200 元，而剩下的 100 才賺錢，但是，後來都沒能賣到那麼好的價錢了！69.1吧！另外，最近加權指數已經連跌 3&nbsp;天了！</p>
2023-09-21,目前鎖定目標,<p>大盤加權指數已經連跌 4 天了，下跌趨勢如何操作，真是一門學問，其實只有一個密訣，就是等，慢，緩，。。。等什麼呢？谷底加碼。</p><p>目前鎖定的目標有三支：</p><p>1. 長興&nbsp;</p><p>2. 緯穎&nbsp;</p><p>3. 富邦媒，其它的，就先不要想太多了！</p><p>心得：緯穎和富邦媒已獲利了結，落袋為安，不過，都賣了早了些，還需認真學習，加油！</p>
2023-09-30,技術分析,<p>1. 道氏理論</p><p>2. 波浪理論</p><p>3. 箱型理論</p><p>4. 價量理論：</p><ul><li>價漲量增(低點易漲，宜中長期持有，高點易跌，宜小心。)</li><li>價漲量平(止漲信號)</li><li>價漲量縮(易跌，高點宜分批出場，低點宜反彈出清。)</li><li>價跌量增(高點易跌，低點易平盤，宜觀望。)</li><li>價跌量平(易跌，宜觀望。)</li><li>價跌量縮(易漲，有時探底，量縮成凹洞量，宜買進持有。)</li><li>價平量增(易跌，宜出清。)</li><li>價平量平(易跌，宜出清。)</li><li>價平量縮(低點易漲，宜買進持有。)</li></ul><p>5. 亞當理論：順勢而為。</p><p>6. 江恩理論：</p><ul><li>&nbsp;</li></ul><p>目前鎖定標的：1. 台化 2.中鋼 3.台橡 4.國票金 5.巨大&nbsp;</p>
2023-10-01,尚未完成項目,<p>1. 公司市值排名</p><p>2. 月報資料</p><p>3. 寫一個程式，計算價量關係的統計：價》^，v，- ; 量：^，v，-</p><p>4. 週k線</p>
2023-10-02,投資標的不同,<p>投資標的不同，看法不同，若為市值小、成長性高的公司，類似巴菲特；和投資市值前 150 大，市值大、成長空間小的公司，二者性質不同，操作方法不同。</p><p>前 150 大，因為是大公司，創立到現在，市值一直成長，成為 150 大時，已是成熟穩定的公司，股價波動較穩定，未來成長空間也較小，賺價差比較難，但，有一個優點，不太會下市，所以，可用存股概念(類似定存)來操作，股價越便宜，買越多，便宜時，買起來放，撿便宜，若股價沒漲，也沒關係，可以等賺股息。</p><p>若想飆股，賺價差，找市值小，成長性高的股票，順勢而為，設停利、停損點，規避風險，是比較好的操作方式。</p><p>突然，瞭解何謂成長型股票？何謂穩定型股票？</p>
