stockId,mark
0056,O
00701,O
00713,O
00730,O
00731,O
00878,O
00900,O
00915,O
00918,O
00919,O
1210,O
1215,O
1227,O
1229,O
1301,O
1303,O
1304,O
1314,O
1326,O
1402,O
1434,O
1605,O
1712,O
1717,O
1723,O
1737,O
1802,O
2204,O
2313,O
2368,O
2903,O
3017,O
3042,O
3044,O
3406,O
3481,O
3532,O
3533,O
3653,O
3711,O
3714,O
4736,O
4919,O
4938,O
5289,O
5522,O
6103,O
6116,O
6121,O
6125,O
6202,O
6239,O
6271,O
6278,O
6409,O
6505,O
6531,O
6592,O
6770,O
6789,O
8016,O
8044,O
8081,O
8150,O
8215,O
8358,O
8454,O
8464,O
8938,O
9904,O
9905,O
9910,O
9914,O
9917,O
9941,O
9945,O
