,industryCategory,stockId,stockName,type,updateDate
-2,測試群組一,0000,測試一,twse,3000-01-01
-1,指數,^TWII,台股指數,twse,2023-04-03
0,ETF,0050,元大台灣50,twse,2023-04-03
1,ETF,0051,元大中型100,twse,2023-04-03
2,ETF,0052,富邦科技,twse,2023-04-03
3,ETF,0053,元大電子,twse,2023-04-03
4,ETF,0054,元大台商50,twse,2023-04-03
5,ETF,0055,元大MSCI金融,twse,2023-04-03
6,ETF,0056,元大高股息,twse,2023-04-03
7,ETF,0057,富邦摩台,twse,2023-04-03
8,ETF,0058,富邦發達,twse,2023-04-03
9,ETF,0059,富邦金融,twse,2023-04-03
10,ETF,0060,新台灣,twse,2023-04-03
11,ETF,0061,元大寶滬深,twse,2023-04-03
12,上櫃指數股票型基金(ETF),006201,元大富櫃50,tpex,2023-04-03
13,ETF,006203,元大MSCI台灣,twse,2023-04-03
14,ETF,006204,永豐臺灣加權,twse,2023-04-03
15,ETF,006205,富邦上証,twse,2023-04-03
16,ETF,006206,元大上證50,twse,2023-04-03
17,ETF,006207,復華滬深,twse,2023-04-03
18,ETF,006208,富邦台50,twse,2023-04-03
19,ETF,00625K,富邦上証+R,twse,2023-04-03
20,ETF,00631L,元大台灣50正2,twse,2023-04-03
21,ETF,00632R,元大台灣50反1,twse,2023-04-03
22,ETF,00633L,富邦上証正2,twse,2023-04-03
23,ETF,00634R,富邦上証反1,twse,2023-04-03
24,ETF,00635U,期元大S&P黃金,twse,2023-04-03
25,ETF,00636,國泰中國A50,twse,2023-04-03
26,ETF,00636K,國泰中國A50+U,twse,2023-04-03
27,ETF,00637L,元大滬深300正2,twse,2023-04-03
28,ETF,00638R,元大滬深300反1,twse,2023-04-03
29,ETF,00639,富邦深100,twse,2023-04-03
30,ETF,00640L,富邦日本正2,twse,2023-04-03
31,ETF,00641R,富邦日本反1,twse,2023-04-03
32,ETF,00642U,期元大S&P石油,twse,2023-04-03
33,ETF,00643,群益深証中小,twse,2023-04-03
34,ETF,00643K,群益深証中小+R,twse,2023-04-03
35,ETF,00645,富邦日本,twse,2023-04-03
36,ETF,00646,元大S&P500,twse,2023-04-03
37,ETF,00647L,元大S&P500正2,twse,2023-04-03
38,ETF,00648R,元大S&P500反1,twse,2023-04-03
39,ETF,00649,FH香港,twse,2023-04-03
40,ETF,00650L,復華香港正2,twse,2023-04-03
41,ETF,00651R,復華香港反1,twse,2023-04-03
42,ETF,00652,富邦印度,twse,2023-04-03
43,ETF,00653L,富邦印度正2,twse,2023-04-03
44,ETF,00654R,富邦印度反1,twse,2023-04-03
45,ETF,00655L,國泰中國A50正2,twse,2023-04-03
46,ETF,00656R,國泰中國A50反1,twse,2023-04-03
47,ETF,00657,國泰日經225,twse,2023-04-03
48,ETF,00657K,國泰日經225+U,twse,2023-04-03
49,ETF,00658L,國泰日本正2,twse,2023-04-03
50,ETF,00659R,國泰日本反1,twse,2023-04-03
51,ETF,00660,元大歐洲50,twse,2023-04-03
52,ETF,00661,元大日經225,twse,2023-04-03
53,ETF,00662,富邦NASDAQ,twse,2023-04-03
54,ETF,00663L,國泰臺灣加權正2,twse,2023-04-03
55,ETF,00664R,國泰臺灣加權反1,twse,2023-04-03
56,ETF,00665L,富邦恒生國企正2,twse,2023-04-03
57,ETF,00666R,富邦恒生國企反1,twse,2023-04-03
58,ETF,00667,元大韓國,twse,2023-04-03
59,ETF,00668,國泰美國道瓊,twse,2023-04-03
60,ETF,00668K,國泰美國道瓊+U,twse,2023-04-03
61,ETF,00669R,國泰美國道瓊反1,twse,2023-04-03
62,ETF,00670L,富邦NASDAQ正2,twse,2023-04-03
63,ETF,00671R,富邦NASDAQ反1,twse,2023-04-03
64,ETF,00672L,元大S&P原油正2,twse,2023-04-03
65,ETF,00673R,期元大S&P原油反1,twse,2023-04-03
66,ETF,00674R,期元大S&P黃金反1,twse,2023-04-03
67,ETF,00675L,富邦臺灣加權正2,twse,2023-04-03
68,ETF,00676R,富邦臺灣加權反1,twse,2023-04-03
69,ETF,00677U,期富邦VIX,twse,2023-04-03
70,ETF,00678,群益NBI生技,twse,2023-04-03
71,上櫃指數股票型基金(ETF),00679B,元大美債20年,tpex,2023-04-03
72,ETF,00680L,元大美債20正2,twse,2023-04-03
73,ETF,00681R,元大美債20反1,twse,2023-04-03
74,ETF,00682U,期元大美元指數,twse,2023-04-03
75,ETF,00683L,期元大美元指正2,twse,2023-04-03
76,ETF,00684R,期元大美元指反1,twse,2023-04-03
77,ETF,00685L,群益臺灣加權正2,twse,2023-04-03
78,ETF,00686R,群益臺灣加權反1,twse,2023-04-03
79,上櫃指數股票型基金(ETF),00687B,國泰20年美債,tpex,2023-04-03
80,ETF,00688L,國泰20年美債正2,twse,2023-04-03
81,ETF,00689R,國泰20年美債反1,twse,2023-04-03
82,ETF,00690,兆豐藍籌30,twse,2023-04-03
83,ETF,00691R,兆豐藍籌30反1,twse,2023-04-03
84,ETF,00692,富邦公司治理,twse,2023-04-03
85,ETF,00693U,期街口S&P黃豆,twse,2023-04-03
86,上櫃指數股票型基金(ETF),00694B,富邦美債1-3,tpex,2023-04-03
87,上櫃指數股票型基金(ETF),00695B,富邦美債7-10,tpex,2023-04-03
88,上櫃指數股票型基金(ETF),00696B,富邦美債20年,tpex,2023-04-03
89,上櫃指數股票型基金(ETF),00697B,元大美債7-10,tpex,2023-04-03
90,ETF,00698L,元大美債7-10正2,twse,2023-04-03
91,ETF,00699R,元大美債7-10反1,twse,2023-04-03
92,ETF,00700,富邦恒生國企,twse,2023-04-03
93,ETF,00701,國泰股利精選30,twse,2023-04-03
94,ETF,00702,國泰標普低波高息,twse,2023-04-03
95,ETF,00703,台新MSCI中國,twse,2023-04-03
96,ETF,00704L,台新MSCI台灣正2,twse,2023-04-03
97,ETF,00705R,台新MSCI台灣反1,twse,2023-04-03
98,ETF,00706L,期元大S&P日圓正2,twse,2023-04-03
99,ETF,00707R,期元大S&P日圓反1,twse,2023-04-03
100,ETF,00708L,期元大S&P黃金正2,twse,2023-04-03
101,ETF,00709,富邦歐洲,twse,2023-04-03
102,ETF,00710B,復華彭博非投等債,twse,2023-04-03
103,ETF,00711B,復華彭博新興債,twse,2023-04-03
104,ETF,00712,復華富時不動產,twse,2023-04-03
105,ETF,00713,元大台灣高息低波,twse,2023-04-03
106,ETF,00714,群益道瓊美國地產,twse,2023-04-03
107,ETF,00715L,期街口布蘭特正2,twse,2023-04-03
108,ETF,00716R,華頓S&P布蘭特反1,twse,2023-04-03
109,ETF,00717,富邦美國特別股,twse,2023-04-03
110,上櫃指數股票型基金(ETF),00718B,富邦中國政策債,tpex,2023-04-03
111,上櫃指數股票型基金(ETF),00719B,元大美債1-3,tpex,2023-04-03
112,上櫃指數股票型基金(ETF),00720B,元大投資級公司債,tpex,2023-04-03
113,上櫃指數股票型基金(ETF),00721B,元大中國債3-5,tpex,2023-04-03
114,上櫃指數股票型基金(ETF),00722B,群益15年IG電信債,tpex,2023-04-03
115,上櫃指數股票型基金(ETF),00723B,群益15年IG科技債,tpex,2023-04-03
116,上櫃指數股票型基金(ETF),00724B,群益10年IG金融債,tpex,2023-04-03
117,上櫃指數股票型基金(ETF),00725B,國泰投資級公司債,tpex,2023-04-03
118,上櫃指數股票型基金(ETF),00726B,國泰5Y+新興債,tpex,2023-04-03
119,上櫃指數股票型基金(ETF),00727B,國泰1-5Y非投等債,tpex,2023-04-03
120,ETF,00728,第一金工業30,twse,2023-04-03
121,ETF,00729R,第一金工業30反1,twse,2023-04-03
122,ETF,00730,富邦臺灣優質高息,twse,2023-04-03
123,ETF,00731,復華富時高息低波,twse,2023-04-03
124,ETF,00732,國泰RMB短期報酬,twse,2023-04-03
125,ETF,00733,富邦臺灣中小,twse,2023-04-03
126,上櫃指數股票型基金(ETF),00734B,台新JPM新興債,tpex,2023-04-03
127,ETF,00735,國泰臺韓科技,twse,2023-04-03
128,ETF,00736,國泰新興市場,twse,2023-04-03
129,ETF,00737,國泰AI+Robo,twse,2023-04-03
130,ETF,00738U,期元大道瓊白銀,twse,2023-04-03
131,ETF,00739,元大MSCI A股,twse,2023-04-03
132,上櫃指數股票型基金(ETF),00740B,富邦全球投等債,tpex,2023-04-03
133,上櫃指數股票型基金(ETF),00741B,富邦全球非投等債,tpex,2023-04-03
134,ETF,00742,新光內需收益,twse,2023-04-03
135,ETF,00743,國泰中國A150,twse,2023-04-03
136,上櫃指數股票型基金(ETF),00744B,國泰中國政金債5+,tpex,2023-04-03
137,上櫃指數股票型基金(ETF),00745B,富邦中政債0-1,tpex,2022-12-11
138,上櫃指數股票型基金(ETF),00746B,富邦A級公司債,tpex,2023-04-03
139,上櫃指數股票型基金(ETF),00747B,FH中國政策債,tpex,2022-12-28
140,上櫃指數股票型基金(ETF),00748B,凱基中國債3-10,tpex,2023-02-22
141,上櫃指數股票型基金(ETF),00749B,凱基新興債10+,tpex,2023-04-03
