stockId,stockName,type,date,price,rfPrice,rfPercent,parValue,equityMillion,circulationTenThousand,totalPrice,buildYear,onYear,股票期貨,選擇權,權證,公司債,私募股,特別股,產業別,董事長,總經理
2330,台積電,市,10/02,533.0,10.0,1.91,10.0,2593.0,2593.0,138218.0,36.6,29.1,有,有,有,有,nan,nan,半導體業,劉德音,總裁: 魏哲家
2317,鴻海,市,10/02,104.5,0.5,0.48,10.0,1386.0,1386.0,14487.0,49.6,32.3,有,有,有,有,nan,nan,其他電子業,劉揚偉,劉揚偉
2454,聯發科,市,10/02,745.0,10.0,1.36,10.0,160.0,160.0,11916.0,26.4,22.2,有,有,有,nan,nan,nan,半導體業,蔡明介,陳冠州
2382,廣達,市,10/02,254.5,15.0,6.26,10.0,386.0,386.3,9830.0,35.4,24.7,有,有,nan,nan,nan,nan,電腦及週邊設備業,林百里,梁次震
2412,中華電,市,10/02,116.5,0.5,0.43,10.0,776.0,775.7,9037.0,27.3,22.9,有,有,有,nan,nan,nan,通信網路業,郭水義,林昭陽
2308,台達電,市,10/02,335.5,11.0,3.39,10.0,260.0,259.8,8715.0,48.1,34.8,有,nan,有,有,nan,nan,電子零組件業,海英俊,張訓海
6505,台塑化,市,10/02,80.3,-0.3,-0.37,10.0,953.0,952.6,7649.0,31.5,19.8,nan,nan,nan,有,nan,nan,油電燃氣業,陳?郎,曹明
2881,富邦金,市,10/02,60.8,0.1,0.16,10.0,1400.0,1240.0,7536.0,21.8,21.8,有,有,有,有,nan,有,金控業,蔡明興,韓蔚廷
2882,國泰金,市,10/02,44.5,-0.05,-0.11,10.0,1620.0,1467.0,6528.0,21.8,21.8,有,有,有,nan,nan,有,金控業,蔡宏圖,李長庚
2303,聯電,市,10/02,45.75,0.55,1.22,10.0,1250.0,1250.0,5720.0,43.4,38.2,有,有,有,有,nan,nan,半導體業,洪嘉聰,簡山傑、王石
2886,兆豐金,市,10/02,37.6,-0.1,-0.27,10.0,1405.0,1405.0,5283.0,21.7,21.7,有,有,有,有,nan,nan,金控業,雷仲達,蕭玉美
1303,南亞,市,10/02,66.4,-0.2,-0.3,10.0,793.0,793.1,5266.0,65.1,55.9,有,有,有,有,nan,nan,塑膠工業,吳嘉昭,鄒明仁
