stockId,mark
0050,O
0056,O
006208,O
00701,O
00713,O
00730,O
00731,O
00878,O
00900,O
00915,O
00918,O
00919,O
1101,O
1102,O
1210,O
1215,O
1216,O
1227,O
1229,O
1234,O
1301,O
1303,O
1314,O
1326,O
1402,O
1476,O
1477,O
1605,O
1712,O
1722,O
1723,O
1737,O
1760,O
1795,O
2006,O
2049,O
2105,O
2301,O
2308,O
2313,O
2327,O
2330,O
2345,O
2347,O
2357,O
2368,O
2376,O
2377,O
2379,O
2385,O
2404,O
2441,O
2449,O
2451,O
2454,O
2458,O
2474,O
2492,O
2548,O
2603,O
2606,O
2615,O
2618,O
2633,O
2727,O
2845,O
2903,O
3008,O
3014,O
3034,O
3036,O
3045,O
3293,O
3406,O
3532,O
3533,O
3592,O
3653,O
3702,O
3711,O
4904,O
4919,O
5269,O
5289,O
5522,O
5876,O
5880,O
6121,O
6147,O
6239,O
6278,O
6505,O
6531,O
6670,O
6770,O
8016,O
8044,O
8150,O
8454,O
9905,O
9910,O
9917,O
